,Unnamed: 0,geography code_x,geography,Young 0-19,Working-age 20-64,Retired-age 65-90,0--19,20--64,65--,cluster_x,cluster_y
82,82,E10000020,Norfolk,185178,487479,185231,186813,505541,223762,1,1
83,83,E10000029,Suffolk,166934,416190,145039,161108,420381,179200,3,3
84,84,E09000007,Camden,46183,150178,23977,44036,141273,24825,2,2
85,85,E09000001,City of London,784,5556,1035,765,6610,1204,2,2
86,86,E09000012,Hackney,61797,167078,17395,60837,177810,20501,2,2
87,87,E09000013,Hammersmith and Fulham,35996,130084,16413,35111,129065,18985,2,2
88,88,E09000014,Haringey,63374,169183,22369,59816,176712,27706,2,2
89,89,E09000019,Islington,41790,146299,18036,41776,154490,20321,2,2
90,90,E09000020,Kensington and Chelsea,29720,109814,19115,25726,97051,20599,2,2
91,91,E09000022,Lambeth,65889,214010,23187,60623,229774,27265,2,2
92,92,E09000023,Lewisham,70064,179686,26135,70546,201359,28649,2,2
93,93,E09000025,Newham,86216,201175,20593,92629,233243,25167,2,2
94,94,E09000028,Southwark,66364,199590,22329,64675,217280,25686,2,2
95,95,E09000030,Tower Hamlets,62106,176420,15570,72508,220324,17471,2,2
96,96,E09000032,Wandsworth,61168,218916,26911,64369,231799,31338,2,2
97,97,E09000033,Westminster,41005,153877,24514,35666,143792,24782,2,2
98,98,E09000002,Barking and Dagenham,58349,108241,19321,68937,130899,19027,2,2
99,99,E09000003,Barnet,90464,218490,47432,96629,236611,56100,2,2
100,100,E09000004,Bexley,60043,134742,37212,61779,143802,40892,2,2
101,101,E09000005,Brent,77625,200914,32676,81297,218964,39557,2,2
102,102,E09000006,Bromley,74680,182675,52037,78257,193492,58240,2,2
103,103,E09000008,Croydon,97764,221239,44375,97933,239713,53072,2,2
104,104,E09000009,Ealing,83527,218695,36227,89207,233449,44466,2,2
105,105,E09000010,Enfield,86259,187374,38833,89455,195516,45015,2,2
106,106,E09000011,Greenwich,68315,160126,26116,71910,186932,30225,2,2
107,107,E09000015,Harrow,60031,145358,33667,63354,157668,40181,2,2
108,108,E09000016,Havering,56614,138341,42277,63687,152264,46106,3,3
109,109,E09000017,Hillingdon,72529,166229,35178,78903,185838,41175,2,2
110,110,E09000018,Hounslow,63246,163852,26859,72160,182073,33948,2,2
111,111,E09000021,Kingston upon Thames,38335,101367,20358,40107,103633,24324,2,2
112,112,E09000024,Merton,47120,129451,23122,50679,137438,27071,2,2
113,113,E09000026,Redbridge,77106,168479,33385,83667,188662,37931,2,2
114,114,E09000027,Richmond upon Thames,44057,117637,25296,47296,116535,31447,2,2
115,115,E09000029,Sutton,47005,115908,27233,52758,125141,31741,2,2
116,116,E09000031,Waltham Forest,67303,165380,25566,68181,181847,28401,2,2
117,117,E06000036,Bracknell Forest,29085,69973,14147,30127,75603,18870,3,3
118,118,E06000043,Brighton and Hove,59757,177920,35692,56743,181386,38978,2,2
119,119,E06000046,Isle of Wight,29112,76199,32954,25854,73586,41020,1,1
120,120,E06000035,Medway,68987,157933,37005,69890,163828,46053,3,3
121,121,E06000042,Milton Keynes,66901,154409,27511,74967,172506,39584,3,3
122,122,E06000044,Portsmouth,51462,126182,27412,49556,127658,30788,2,2
123,123,E06000038,Reading,38270,99596,17832,41957,111297,20981,2,2
124,124,E06000039,Slough,40379,87002,12824,47206,95973,15319,2,2
125,125,E06000045,Southampton,56751,149355,30776,58835,155832,34245,2,2
126,126,E06000037,West Berkshire,38629,91567,23626,37797,92138,31512,3,3
127,127,E06000040,Windsor and Maidenhead,35155,85328,24077,36712,88462,28321,3,3
128,128,E06000041,Wokingham,38809,91782,23789,44602,102349,30548,3,3
129,129,E10000002,Buckinghamshire,126491,294641,84151,133659,315709,103713,3,3
130,130,E10000011,East Sussex,116345,290563,119763,111891,291480,142481,1,1
131,131,E10000014,Hampshire,309462,764954,243372,307739,789031,304129,3,3
132,132,E10000016,Kent,360605,840829,262306,369068,887674,319327,3,3
133,133,E10000025,Oxfordshire,156898,393158,103742,166998,428501,129793,3,3
134,134,E10000030,Surrey,272389,665535,194466,286022,689896,227193,3,3
135,135,E10000032,West Sussex,181365,458952,166575,190978,490314,201391,3,3
136,136,E06000022,Bath and North East Somerset,40788,103411,31817,44485,111401,37520,3,3
137,137,E06000023,"Bristol, City of",101214,271148,55872,107898,303807,60757,2,2
138,138,E06000052,Cornwall,115211,301821,115241,116262,309903,144139,1,1
139,139,E06000053,Isles of Scilly,380,1317,506,353,1125,580,1,1
140,140,E06000024,North Somerset,45582,114351,42633,46572,118285,51870,1,1
