"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Bromley","E09000006","Total",309392,20095,11161,6900,18612,3818,7912,6182,16119,17887,68132,62045,18492,25770,18452,5086,2729,39.9,40.0
"2011","Croydon","E09000008","Total",363378,27972,14388,8708,23130,4912,9934,8720,23591,27692,82439,70488,17029,23155,15318,3881,2021,36.4,35.0
"2011","Ealing","E09000009","Total",338449,25426,12595,7790,19043,4023,7728,6922,24552,33998,87446,58503,14196,19419,12152,3023,1633,35.4,33.0
"2011","Enfield","E09000010","Total",312466,24513,13047,7883,20305,4253,8547,7711,21726,24957,70185,56854,13652,20392,13159,3449,1833,35.9,34.0
"2011","Greenwich","E09000011","Total",254557,20945,10443,5882,14984,3140,5978,6943,19987,22113,65585,42269,10172,13675,8692,2452,1297,34.6,33.0
"2011","Harrow","E09000015","Total",239056,15916,9007,5414,14590,3131,6604,5369,16066,19345,53358,44579,12010,17420,11659,2982,1606,37.6,36.0
"2011","Havering","E09000016","Total",237232,13661,8143,5087,14365,3132,6439,5787,14976,14662,46289,47853,14561,20561,15660,4196,1860,40.4,40.0
"2011","Hillingdon","E09000017","Total",273936,19704,10494,6421,16877,3397,7227,8409,21934,20878,61198,49433,12786,18061,12425,3036,1656,36.4,35.0
"2011","Hounslow","E09000018","Total",253957,19725,9412,5487,13945,2964,5954,5759,18612,26231,64753,43411,10845,14592,8982,2220,1065,35.2,33.0
"2011","Kingston upon Thames","E09000021","Total",160060,10964,5647,3319,8541,1799,3422,4643,13505,12358,38920,28602,7982,10241,6775,2136,1206,37.0,35.0
"2011","Merton","E09000024","Total",199693,14830,7225,4182,10474,2142,4418,3849,12452,19877,53663,34682,8777,11880,7965,2105,1172,36.3,34.0
"2011","Redbridge","E09000026","Total",278970,21666,11561,7363,18579,3689,7527,6721,18894,23814,64231,48962,12578,16817,11553,3225,1790,35.6,34.0
"2011","Richmond upon Thames","E09000027","Total",186990,14038,6986,4121,9827,1966,3621,3498,9145,12546,49396,36408,10142,13023,8234,2503,1536,38.3,38.0
"2011","Sutton","E09000029","Total",190146,12750,6897,4198,11673,2470,5097,3920,10657,13185,44453,37247,10366,13785,9448,2637,1363,38.3,38.0
"2011","Waltham Forest","E09000031","Total",258249,20839,10359,6104,14760,3056,6234,5951,20604,26508,65523,42962,9783,13413,8629,2267,1257,34.4,32.0
"2011","Bracknell Forest","E06000036","Total",113205,8027,4218,2527,7082,1608,3198,2425,6349,7721,26631,23439,5833,7520,4742,1247,638,37.4,37.0
"2011","Brighton and Hove","E06000043","Total",273369,15015,8186,5105,13412,2627,5602,9810,28129,22998,65653,48426,12714,17460,12248,3758,2226,37.4,35.0
"2011","Isle of Wight","E06000046","Total",138265,6412,3945,2597,7968,1754,3492,2944,6808,6690,23176,28531,10994,17112,10772,3257,1813,44.4,46.0
"2011","Medway","E06000035","Total",263925,17224,9732,6235,16765,3458,7463,8110,19041,17581,54321,51536,15454,20652,11946,2915,1492,37.7,37.0
"2011","Milton Keynes","E06000042","Total",248821,19908,10263,6205,15805,3211,6339,5170,14056,19596,59548,48040,13169,15467,8494,2371,1179,36.1,35.0
"2011","Portsmouth","E06000044","Total",205056,13548,6970,4061,10927,2294,4628,9034,22761,16991,41524,35086,9820,13861,9210,2792,1549,36.5,34.0
"2011","Reading","E06000038","Total",155698,11937,5463,3093,7968,1655,3279,4875,14574,15113,38506,25030,6373,9058,6132,1704,938,35.3,33.0
"2011","Slough","E06000039","Total",140205,12777,6276,3718,9034,1755,3664,3155,9574,13351,35902,23015,5160,6637,4505,1103,579,33.5,32.0
"2011","Southampton","E06000045","Total",236882,15407,7406,4441,11555,2539,4801,10602,29384,21785,48888,38352,10946,15443,10661,3084,1588,36.1,32.0
"2011","West Berkshire","E06000037","Total",153822,10065,5512,3505,9914,2095,4303,3235,7341,8506,33010,32957,9753,12949,7590,2065,1022,39.4,40.0
"2011","Windsor and Maidenhead","E06000040","Total",144560,9365,5252,3332,8863,1848,3910,2585,7111,8841,31949,28735,8692,12424,8164,2243,1246,39.8,40.0
"2011","Wokingham","E06000041","Total",154380,10031,5758,3793,9740,2048,4090,3349,7428,8071,33741,33116,9426,13052,7791,1896,1050,39.4,40.0
"2011","Buckinghamshire","E10000002","Total",505283,31832,18799,12140,32552,6726,13496,10946,25974,27607,103397,106421,31242,44690,28249,7287,3925,39.8,41.0
"2011","East Sussex","E10000011","Total",526671,27456,16415,10649,30390,6246,13285,11904,26479,25818,90763,107981,39522,58766,41131,12349,7517,43.6,45.0
"2011","Hampshire","E10000014","Total",1317788,77307,44818,28446,78870,16964,33756,29301,71399,71087,259061,275328,88079,126964,82172,22233,12003,41.1,42.0
"2011","Kent","E10000016","Total",1463740,89076,51228,32919,91396,18935,39259,37792,87679,83297,282886,290483,96484,137517,87948,23683,13158,40.3,41.0
"2011","Oxfordshire","E10000025","Total",653798,41056,22181,13850,37335,7818,15721,18937,47593,46830,135280,125441,38014,54422,34637,9523,5160,38.9,38.0
"2011","Surrey","E10000030","Total",1132390,71306,40532,25309,67566,13778,28145,25753,61519,62154,240551,231932,69379,97839,66584,19135,10908,40.2,40.0
"2011","West Sussex","E10000032","Total",806892,46486,26373,16806,45733,9557,19181,17229,41088,44020,156491,163008,54345,81862,58142,16931,9640,42.3,43.0
"2011","Bath and North East Somerset","E06000022","Total",176016,9238,5192,3508,9568,2071,4125,7086,15995,10141,32400,34073,10802,15928,10981,3249,1659,40.3,40.0
"2011","Bournemouth","E06000028","Total",183491,10275,4862,2999,8399,1732,3517,6141,17130,14935,39070,31930,10190,14661,11504,3834,2312,40.0,38.0
"2011","Bristol, City of","E06000023","Total",428234,29633,14371,8466,21703,4408,8922,13711,44371,40752,95160,70787,20078,27725,19235,5798,3114,36.5,33.0
"2011","Cornwall","E06000052","Total",532273,27366,15714,10359,29972,6530,12575,12695,28357,26373,93598,110882,42611,61767,37746,10218,5510,43.3,45.0
"2011","Isles of Scilly","E06000053","Total",2203,105,65,40,114,22,7,27,111,135,427,472,172,271,165,37,33,44.7,46.0
"2011","North Somerset","E06000024","Total",202566,11653,6681,4343,11579,2396,4749,4181,9491,10363,38286,41557,14654,22071,14043,4175,2344,42.6,44.0
"2011","Plymouth","E06000026","Total",256384,15336,7956,4991,13645,2954,6011,8839,24343,18888,48662,47904,15140,21999,14098,3639,1979,39.0,38.0
"2011","Poole","E06000029","Total",147645,8450,4687,2896,7924,1702,3557,3361,8180,8712,28855,29335,9828,14563,10676,3167,1752,42.1,42.0
"2011","South Gloucestershire","E06000025","Total",262767,15925,8967,5641,15858,3539,6958,7102,15458,15606,53974,53582,15748,24040,14835,3648,1886,39.8,40.0
"2011","Swindon","E06000030","Total",209156,14083,7551,4722,12433,2593,5141,4690,12859,15075,48338,41827,10990,15160,9899,2616,1179,38.1,38.0
"2011","Torbay","E06000027","Total",130959,6690,3851,2426,7092,1610,3120,2839,6779,6700,22055,26774,10169,15564,10219,3190,1881,44.2,46.0
"2011","Wiltshire","E06000054","Total",470981,28373,16588,10611,29276,6120,12432,10645,24720,25471,91597,98414,31246,45070,28456,7725,4237,40.8,42.0
"2011","Devon","E10000008","Total",746399,37479,22022,14310,40518,8845,17586,18977,42929,36415,126570,154693,57629,86420,56246,16645,9115,43.7,45.0
"2011","Dorset","E10000009","Total",412905,19333,11864,7979,23023,5110,10393,8619,19450,17091,66924,85770,33204,51990,36092,10435,5628,45.2,47.0
"2011","Gloucestershire","E10000013","Total",596984,33438,19059,12481,34479,7294,15474,14363,34958,33994,116039,124311,39739,58210,36976,10671,5498,41.3,42.0
"2011","Somerset","E10000027","Total",529972,28717,16708,10779,31309,7077,14368,11863,28035,26508,92738,110903,39307,57463,37588,10853,5756,42.7,44.0
"2011","Isle of Anglesey","W06000001","Total",69751,3878,2082,1382,3746,773,1680,1398,3863,3603,12050,14189,5461,8574,5046,1249,777,43.4,45.0
"2011","Gwynedd","W06000002","Total",121874,6819,3748,2430,6610,1344,2784,4220,9719,6472,20714,23341,8533,13130,8565,2278,1167,41.6,42.0
"2011","Conwy","W06000003","Total",115228,5839,3351,2155,6418,1363,2849,2390,5798,5404,19079,23576,8844,13966,9921,2729,1546,44.6,46.0
"2011","Denbighshire","W06000004","Total",93734,5323,2986,1975,5473,1196,2543,2270,5212,4525,16269,19113,7159,10585,6522,1656,927,42.4,44.0
"2011","Flintshire","W06000005","Total",152506,9349,5098,3275,8997,1925,4073,3499,8970,8547,29576,31332,11029,15299,8384,2060,1093,40.6,41.0
"2011","Wrexham","W06000006","Total",134844,8829,4785,2832,7736,1636,3219,3188,8439,8825,26996,26650,8858,12516,7458,1858,1019,39.8,40.0
