"date","geography","geography code","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"2011","Barnsley","E08000016","Total",170405,113306,24807,62841,515,2639,2863,7086,8738,3817,57099,28008,6225,7435,11925,3506
"2011","Doncaster","E08000017","Total",220877,147770,33112,80998,734,3305,3941,8216,12697,4767,73107,34110,8765,10746,12958,6528
"2011","Rotherham","E08000018","Total",187959,125899,28830,68860,598,2839,3244,7313,9821,4394,62060,31117,7405,8864,10614,4060
"2011","Sheffield","E08000019","Total",411004,270239,56868,140933,1216,5503,7835,15467,19626,22791,140765,52941,44212,16682,18418,8512
"2011","Bradford","E08000032","Total",366217,243727,52795,125745,1725,6199,8721,14828,21224,12490,122490,43961,23311,24487,18176,12555
"2011","Calderdale","E08000033","Total",148766,104893,21923,57617,585,2837,3650,6999,7394,3888,43873,22405,6156,5844,6510,2958
"2011","Kirklees","E08000034","Total",307194,209514,44638,112199,1413,5679,7070,13332,14465,10718,97680,44027,17593,15227,13504,7329
"2011","Leeds","E08000035","Total",560849,389929,73507,217528,1789,8318,10731,21460,26786,29810,170920,69446,46047,20435,22498,12494
"2011","Wakefield","E08000036","Total",240997,164768,35763,95559,719,3494,3960,8531,11702,5040,76229,38721,8474,9554,14092,5388
"2011","Derby","E06000015","Total",179291,123691,26310,68979,486,2027,3127,6017,9297,7448,55600,22925,11237,8595,8574,4269
"2011","Leicester","E06000016","Total",242232,156425,33341,80780,751,2757,3699,6814,14982,13301,85807,22435,27604,15035,12397,8336
"2011","Nottingham","E06000018","Total",232072,142327,27605,72252,573,2147,3575,6709,14775,14691,89745,21144,37733,10854,13161,6853
"2011","Rutland","E06000017","Total",27052,18758,3847,10314,155,710,976,1507,643,606,8294,4579,1568,878,463,806
"2011","Derbyshire","E10000007","Total",567798,397053,86622,221973,1987,10413,13173,27199,22206,13480,170745,95875,20422,20778,24687,8983
"2011","Leicestershire","E10000018","Total",479462,342139,70396,195058,1844,9821,11820,23577,14534,15089,137323,73264,29200,15363,12666,6830
"2011","Lincolnshire","E10000019","Total",524197,357652,75973,196958,1999,10354,12485,24843,20035,15005,166545,95106,20830,20749,21076,8784
"2011","Northamptonshire","E10000021","Total",506174,372720,70097,219562,1673,9176,11349,25328,20078,15457,133454,68299,19649,19466,16900,9140
"2011","Nottinghamshire","E10000024","Total",578254,401265,86589,227198,2040,10262,12353,24935,22745,15143,176989,95255,23698,21883,25340,10813
"2011","Herefordshire, County of","E06000019","Total",133442,95114,20345,48094,682,3656,4683,10130,4353,3171,38328,22149,4845,4636,4600,2098
"2011","Shropshire","E06000051","Total",223892,158983,34760,83106,1126,6130,6852,14427,7350,5232,64909,37833,8764,7529,7237,3546
"2011","Stoke-on-Trent","E06000021","Total",182808,119743,24732,67097,528,2127,2823,5962,9715,6759,63065,26108,10260,8553,13223,4921
"2011","Telford and Wrekin","E06000020","Total",122279,84947,16530,50567,293,1724,2134,4437,5806,3456,37332,16798,6213,5923,6001,2397
"2011","Staffordshire","E10000028","Total",629358,439182,92188,248271,2290,12177,13435,29877,22661,18283,190176,104794,28007,22191,23657,11527
"2011","Warwickshire","E10000031","Total",401630,288343,56523,166704,1485,7664,10506,20246,13910,11305,113287,61205,19880,13783,12413,6006
"2011","Birmingham","E08000025","Total",760252,488221,96186,251668,2970,9718,15221,24916,54114,33428,272031,81213,74102,48771,39917,28028
"2011","Coventry","E08000026","Total",231871,153745,29800,84624,549,2574,3659,7558,12532,12449,78126,27790,24219,10049,10487,5581
"2011","Dudley","E08000027","Total",226726,155530,33987,86654,618,3051,4219,9191,12064,5746,71196,36619,9636,10355,10060,4526
"2011","Sandwell","E08000028","Total",219508,146653,29779,81339,653,2508,3272,6787,16049,6266,72855,28582,11728,12859,12679,7007
"2011","Solihull","E08000029","Total",148360,105108,21701,59212,599,2944,3363,6767,6304,4218,43252,24019,6496,5506,4949,2282
"2011","Walsall","E08000030","Total",191974,126805,26934,67743,672,2891,3168,7260,13006,5131,65169,28865,9544,11220,9974,5566
"2011","Wolverhampton","E08000031","Total",179983,120402,24364,63981,525,2269,2680,5910,14127,6546,59581,23763,11036,9479,9765,5538
"2011","Worcestershire","E10000034","Total",415036,296083,61898,162811,1632,8666,11534,22190,15424,11928,118953,66567,17126,14474,13527,7259
"2011","Bedford","E06000055","Total",113764,81782,15841,45943,431,2107,2815,5473,5060,4112,31982,14517,6231,4918,3749,2567
"2011","Central Bedfordshire","E06000056","Total",186658,139525,26069,81304,678,3678,4981,11135,6443,5237,47133,25111,7768,7346,4409,2499
"2011","Luton","E06000032","Total",145208,100272,18407,53271,635,2136,2948,6479,8337,8059,44936,14336,10703,9660,5496,4741
"2011","Peterborough","E06000031","Total",132318,95646,18654,56704,438,1946,2627,5001,6691,3585,36672,15323,5104,7270,5484,3491
"2011","Southend-on-Sea","E06000033","Total",125007,88324,17949,47972,451,2168,3348,6834,6209,3393,36683,17655,4769,6298,5311,2650
"2011","Thurrock","E06000034","Total",114124,84464,16370,48620,347,1750,2091,5973,6190,3123,29660,13377,3987,5903,4037,2356
"2011","Cambridgeshire","E10000003","Total",461380,332195,61890,196394,1582,8485,12343,22940,13775,14786,129185,58816,33690,17055,12220,7404
"2011","Essex","E10000012","Total",1011611,719430,145817,395312,3917,20667,27804,60088,38074,27751,292181,155639,40372,47562,31887,16721
"2011","Hertfordshire","E10000015","Total",806213,598438,109693,341147,3164,16797,25369,47964,28301,26003,207775,96720,40850,36518,20236,13451
"2011","Norfolk","E10000020","Total",623798,424732,94006,225180,2304,11990,17018,33140,23678,17416,199066,111739,25667,25902,24187,11571
"2011","Suffolk","E10000029","Total",525463,373282,82248,204527,2096,9935,14854,27321,18873,13428,152181,86545,17006,22120,16484,10026
"2011","Camden","E09000007","Total",173833,118397,13727,66955,800,4333,6542,11629,7755,6656,55436,11908,22734,7874,7663,5257
"2011","City of London","E09000001","Total",6307,4972,360,3245,32,281,213,510,187,144,1335,580,363,153,116,123
"2011","Hackney","E09000012","Total",187423,133883,21394,68680,935,3056,6434,12868,13207,7309,53540,10441,16455,9262,9788,7594
"2011","Hammersmith and Fulham","E09000013","Total",145552,107754,11073,66703,607,3078,4927,9252,7060,5054,37798,9135,11919,6645,5670,4429
"2011","Haringey","E09000014","Total",193062,138189,21601,70472,983,3849,8266,13715,11730,7573,54873,13391,15945,9604,8448,7485
"2011","Islington","E09000019","Total",165149,117488,13596,69852,552,3196,4834,10295,8960,6203,47661,10204,16458,6611,8707,5681
"2011","Kensington and Chelsea","E09000020","Total",126080,87517,8583,51211,808,4604,5215,8777,5433,2886,38563,10119,11031,7740,4503,5170
"2011","Lambeth","E09000022","Total",237730,183190,22530,110465,861,3860,7225,14882,14255,9112,54540,13265,16062,8411,9068,7734
"2011","Lewisham","E09000023","Total",206255,151793,24079,82776,813,3293,6286,11658,12776,10112,54462,15088,15018,9179,8779,6398
"2011","Newham","E09000025","Total",228958,153761,26408,70712,1256,3537,6035,10914,15734,19165,75197,13211,24959,16510,9728,10789
"2011","Southwark","E09000028","Total",224551,163859,22225,94675,762,3513,6036,12075,13484,11089,60692,12940,22256,8438,9653,7405
"2011","Tower Hamlets","E09000030","Total",196552,137233,18852,78031,906,2450,4116,8864,13259,10755,59319,9262,19407,13809,8893,7948
"2011","Wandsworth","E09000032","Total",243533,189789,18968,123965,881,5239,7883,15532,9311,8010,53744,15140,14599,10424,7027,6554
"2011","Westminster","E09000033","Total",175505,120418,12606,72899,996,4942,5520,10568,7941,4946,55087,12010,17835,9521,8492,7229
"2011","Barking and Dagenham","E09000002","Total",127568,86404,15608,44490,506,1883,3009,6023,9367,5518,41164,10995,9485,9476,6459,4749
"2011","Barnet","E09000003","Total",258443,184483,30478,93174,1681,7842,11843,18924,11476,9065,73960,22967,21112,14277,7885,7719
"2011","Bexley","E09000004","Total",165914,118864,23072,66838,532,2688,3648,9508,7245,5333,47050,21839,9177,7696,4943,3395
"2011","Brent","E09000005","Total",233726,163991,25702,83772,1429,5185,8070,15320,13535,10978,69735,18619,19919,13035,9119,9043
"2011","Bromley","E09000006","Total",222539,161282,29012,91506,967,4844,7039,13740,8668,5506,61257,29656,10635,10614,6057,4295
"2011","Croydon","E09000008","Total",263048,190308,33112,105621,1082,4685,7169,14084,14512,10043,72740,26079,16641,13265,9272,7483
"2011","Ealing","E09000009","Total",252764,180615,25882,100465,1191,4847,8810,16305,13158,9957,72149,20905,18771,14552,9134,8787
"2011","Enfield","E09000010","Total",224024,153334,29134,77326,1368,4702,6993,12078,13192,8541,70690,22062,17187,13464,9242,8735
"2011","Greenwich","E09000011","Total",186722,132073,20697,71844,702,3175,4687,9741,11518,9709,54649,15695,13957,9577,8621,6799
"2011","Harrow","E09000015","Total",174751,123307,21423,65492,985,4474,5717,10943,7854,6419,51444,18189,13417,9580,5105,5153
"2011","Havering","E09000016","Total",171128,121642,23479,67989,659,3094,4096,10129,7627,4569,49486,24404,7944,8374,5407,3357
"2011","Hillingdon","E09000017","Total",199926,141542,23706,80835,729,3402,4704,9812,8693,9661,58384,20310,16788,10311,5886,5089
"2011","Hounslow","E09000018","Total",190157,137867,20588,79763,878,3451,5500,10562,8815,8310,52290,15843,12769,11167,6502,6009
"2011","Kingston upon Thames","E09000021","Total",119673,87348,13588,49530,524,2357,3961,7166,3850,6372,32325,11281,10305,5616,2664,2459
"2011","Merton","E09000024","Total",149598,112038,16484,65877,659,3091,5072,9721,6072,5062,37560,12903,9150,7912,3741,3854
"2011","Redbridge","E09000026","Total",199544,137776,23948,71627,1188,4843,6144,11262,10590,8174,61768,19026,16199,13137,6548,6858
"2011","Richmond upon Thames","E09000027","Total",137779,104090,14207,61511,648,3632,6240,9947,4153,3752,33689,13794,7383,6979,2802,2731
"2011","Sutton","E09000029","Total",138710,103995,18502,60111,600,2635,3981,8603,5429,4134,34715,15461,6454,6238,3904,2658
"2011","Waltham Forest","E09000031","Total",190978,135015,21889,69385,1033,3371,6509,12777,11654,8397,55963,15335,15209,11429,7166,6824
"2011","Bracknell Forest","E06000036","Total",83116,65137,11066,40762,225,1249,2112,4581,2808,2334,17979,8496,3007,3450,1770,1256
"2011","Brighton and Hove","E06000043","Total",210792,150853,27492,75999,884,4191,7985,14181,7818,12303,59939,19625,20567,7249,8813,3685
"2011","Isle of Wight","E06000046","Total",99747,64218,15728,30353,476,2111,3293,5673,4386,2198,35529,20478,3661,3933,4504,2953
"2011","Medway","E06000035","Total",194158,137954,27137,77912,543,2731,3692,9910,9469,6560,56204,24738,9912,10105,7334,4115
"2011","Milton Keynes","E06000042","Total",181385,137717,23644,84004,537,2598,3938,8658,8640,5698,43668,18654,7143,8338,5810,3723
"2011","Portsmouth","E06000044","Total",153705,105834,20626,57743,376,2016,2483,6676,6536,9378,47871,16385,16380,6297,5813,2996
"2011","Reading","E06000038","Total",116808,86329,13883,52054,238,1388,2283,5329,5329,5825,30479,10001,9297,5334,3227,2620
"2011","Slough","E06000039","Total",100458,73819,11886,43610,388,1398,2494,4646,5440,3957,26639,7517,5813,6555,3388,3366
"2011","Southampton","E06000045","Total",180201,123193,22856,68082,450,2027,2965,7522,7631,11660,57008,17775,20857,7449,7330,3597
"2011","West Berkshire","E06000037","Total",112054,85401,15567,51084,369,2286,3416,6620,3279,2780,26653,14094,3799,4769,2420,1571
"2011","Windsor and Maidenhead","E06000040","Total",104247,77650,12727,46337,464,2280,3685,6474,3292,2391,26597,13366,4598,5016,1834,1783
"2011","Wokingham","E06000041","Total",112273,84912,15282,51260,385,2052,3403,6241,2958,3331,27361,14976,4441,4799,1742,1403
"2011","Buckinghamshire","E10000002","Total",363773,267881,48249,151064,1697,8549,13539,23290,10887,10606,95892,48349,16339,17245,7360,6599
"2011","East Sussex","E10000011","Total",374518,254952,55152,125533,1707,8323,14214,26000,13503,10520,119566,66736,14879,15665,15388,6898
"2011","Hampshire","E10000014","Total",954975,699397,139162,403763,3331,17309,27288,51518,28508,28518,255578,144936,34057,37867,24979,13739
"2011","Kent","E10000016","Total",1055397,737908,149177,399625,4048,21135,29898,59600,41541,32884,317489,159127,50767,49761,37471,20363
"2011","Oxfordshire","E10000025","Total",482238,350119,64450,205466,1742,9136,14641,24900,13103,16681,132119,57079,38179,17972,10553,8336
"2011","Surrey","E10000030","Total",817272,601791,106283,344923,3600,18477,29551,50858,22772,25327,215481,105585,40897,38200,16744,14055
"2011","West Sussex","E10000032","Total",577224,416119,85566,228254,2274,11374,19279,34372,18331,16669,161105,91376,20056,23515,16915,9243
"2011","Bath and North East Somerset","E06000022","Total",130550,89752,18818,46367,526,2506,4158,7116,3548,6713,40798,17896,13209,4289,3610,1794
"2011","Bournemouth","E06000028","Total",137574,96017,18289,51149,513,2374,3646,7433,5262,7351,41557,16837,11098,4887,6176,2559
"2011","Bristol, City of","E06000023","Total",321506,227119,42980,127829,909,4352,7308,14537,13817,15387,94387,31534,28932,12556,13973,7392
"2011","Cornwall","E06000052","Total",388858,259484,59778,123195,1967,10229,14046,26771,12694,10804,129374,73605,16726,15517,16980,6546
