geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
Kirklees,E08000034,Total,45875,74194,42712,8186,2558,31917,40980,36147,32259,10152,3696,2237,4079,17716,13214,44638,112199,1413,5679,7070,13332,14465,10718,44027,17593,15227,13504,7329,28331,15976,10051,26177,5614,10669,11264,28826,27475,86893,81187,25845,35035,21092,5316,2707,45875,74194,53456,108082,250226,64150,17716,109044,42411,10012,14465,195049,97680,0,9.412443,-4.6330028
Leeds,E08000035,Total,102787,133414,68943,11751,3701,55977,78034,85954,51690,11317,3815,4283,10005,29647,24503,73507,217528,1789,8318,10731,21460,26786,29810,69446,46047,20435,22498,12494,47844,25177,15404,40167,8901,17178,26756,71874,59860,155762,132786,40178,56455,38561,9600,4982,102787,133414,84395,181427,460460,109598,29647,219965,63007,18103,26786,363143,170920,2,9.955401,-6.708682
Wakefield,E08000036,Total,37719,60622,33675,6497,1901,25780,28550,26788,32850,8223,2945,1214,3768,11373,10337,35763,95559,719,3494,3960,8531,11702,5040,38721,8474,9554,14092,5388,19545,10931,6712,18774,4078,8374,7567,19566,20773,65311,67843,21221,30342,18138,4504,2158,37719,60622,42073,75981,194714,55142,11373,81118,41073,7927,11702,153066,76229,0,8.718465,-3.238349
Derby,E06000015,Total,29593,44344,22930,4220,1184,22119,35130,15049,12100,5409,1547,2514,3368,7829,7357,26310,68979,486,2027,3127,6017,9297,7448,22925,11237,8595,8574,4269,17743,9329,5654,14857,3093,6250,7385,20069,18211,51298,44608,12586,18884,13540,3564,1681,29593,44344,28334,64311,146772,37669,7829,72298,17509,7429,9297,114394,55600,0,9.563974,-5.5426674
Leicester,E06000016,Total,45375,51864,20787,3975,1124,31686,44409,21896,7887,4013,2896,2401,4023,9392,8891,33341,80780,751,2757,3699,6814,14982,13301,22435,27604,15035,12397,8336,24297,12925,7855,20162,4040,8608,11842,35406,29571,68167,55694,14056,18888,12936,3605,1787,45375,51864,25886,89729,202894,37216,9392,97991,11900,9320,14982,141443,85807,2,9.876527,-6.1746745
Nottingham,E06000018,Total,55093,50614,16785,2830,809,25562,35486,22556,8830,3666,1772,1395,5733,8856,9362,27605,72252,573,2147,3575,6709,14775,14691,21144,37733,10854,13161,6853,19959,10194,6235,15860,3328,6818,16913,42766,26232,61519,47678,12626,17520,12877,3529,1626,55093,50614,20424,79307,190821,35552,8856,83604,12496,8900,14775,127552,89745,2,9.887838,-6.514768
Rutland,E06000017,Total,1859,6152,5222,1328,441,3929,1198,2152,2356,1574,953,620,976,3011,1268,3847,10314,155,710,976,1507,643,606,4579,1568,878,463,806,1854,1129,721,2352,630,1434,831,1740,1907,6686,7521,2715,4218,2530,719,382,1859,6152,6991,8951,20569,7849,3011,7279,3930,2549,643,18115,8294,1,6.987694,0.16287415
Derbyshire,E10000007,Total,66832,141123,96191,21156,7335,60756,54955,67173,72847,21828,9277,7450,11667,38575,27483,86622,221973,1987,10413,13173,27199,22206,13480,95875,20422,20778,24687,8983,41545,24628,15821,44957,9835,19880,17450,40958,41007,151061,164883,54770,77789,46475,12276,6351,66832,141123,124682,174116,452679,142891,38575,182884,94675,28394,22206,374847,170745,3,7.545581,-1.6479099
Leicestershire,E10000018,Total,40821,110471,88377,20566,7199,51108,47624,59988,58679,21938,8733,7619,10286,35597,23003,70396,195058,1844,9821,11820,23577,14534,15089,73264,29200,15363,12666,6830,36154,21369,13677,38100,8081,16703,18515,40925,35050,126581,135543,44354,61791,38436,10182,5028,40821,110471,116142,152599,382453,115437,35597,158720,80617,26638,14534,327605,137323,3,7.597149,-1.2563114
Lincolnshire,E10000019,Total,55407,137635,87271,19598,7060,65359,46897,42032,49335,29013,11719,10510,13950,39084,26236,75973,196958,1999,10354,12485,24843,20035,15005,95106,20830,20749,21076,8784,37351,21222,13864,40470,8971,17408,17545,41556,38933,128490,147211,52781,80273,48767,12467,6344,55407,137635,113929,156831,408971,147851,39084,154288,78348,36179,20035,337617,166545,1,6.802375,-0.35118598
Northamptonshire,E10000021,Total,54332,118068,87951,20204,7175,58606,64886,50333,51223,25817,10524,8505,17135,35917,26508,70097,219562,1673,9176,11349,25328,20078,15457,68299,19649,19466,16900,9140,46012,25279,15915,42030,8635,17733,16132,39694,43619,146623,139840,44404,58129,33935,9252,4720,54332,118068,115330,171736,414180,106036,35917,173825,77040,36164,20078,352642,133454,3,8.228362,-1.4365077
Nottinghamshire,E10000024,Total,69687,144941,93973,19461,6241,58374,67436,70457,59200,25123,9223,6443,14640,37512,26787,86589,227198,2040,10262,12353,24935,22745,15143,95255,23698,21883,25340,10813,45259,25459,16288,45750,9566,19981,18307,44562,44051,155113,165910,53109,77221,47073,12268,5885,69687,144941,119675,180610,462745,142447,37512,196267,84323,30306,22745,378520,176989,3,7.7251735,-1.8733038
"Herefordshire, County of",E06000019,Total,12826,32556,23805,6395,2737,17872,13215,10050,11752,6004,2393,2117,3523,15123,8188,20345,48094,682,3656,4683,10130,4353,3171,22149,4845,4636,4600,2098,9580,5550,3630,10494,2261,4519,3904,9431,9681,32849,38958,13604,20496,13196,3535,1789,12826,32556,32937,39938,104523,39016,15123,41137,17756,8033,4353,90761,38328,1,6.6385937,0.2822011
Shropshire,E06000051,Total,20483,54671,39927,10291,4302,28113,18830,15802,21518,15321,5774,4640,5989,22808,11953,34760,83106,1126,6130,6852,14427,7350,5232,37833,8764,7529,7237,3546,15698,9392,6240,17915,3905,8113,6933,16619,15619,55358,64738,22300,34212,20680,5571,2836,20483,54671,54520,68196,174634,63299,22808,62745,36839,16403,7350,151633,64909,1,6.8072653,0.20829794
Stoke-on-Trent,E06000021,Total,33225,47582,21535,4132,1101,19827,29878,23885,9578,3937,1258,2409,2906,6933,7498,24732,67097,528,2127,2823,5962,9715,6759,26108,10260,8553,13223,4921,17092,8935,5254,14260,2825,6233,6977,19089,18156,49752,46896,14721,20984,13119,3296,1419,33225,47582,26768,61576,148614,38818,6933,73590,13515,6573,9715,110028,63065,0,9.649359,-5.613274
Telford and Wrekin,E06000020,Total,13748,28700,18576,4178,1406,13034,19164,14976,7466,4937,2284,2237,2955,6331,4988,16530,50567,293,1724,2134,4437,5806,3456,16798,6213,5923,6001,2397,11344,6185,3822,10594,2256,4675,4565,10863,10888,34329,33021,10010,13928,7481,1771,909,13748,28700,24160,43441,99111,24089,6331,47174,12403,7476,5806,79141,37332,3,8.470703,-2.0960422
Staffordshire,E10000028,Total,63893,146504,109218,26358,9290,65182,68643,64966,74543,32648,11899,9370,11979,42861,30382,92188,248271,2290,12177,13435,29877,22661,18283,104794,28007,22191,23657,11527,46089,27401,17444,48881,10251,21510,21022,50940,47000,164651,177221,59225,87789,50278,12496,6291,63893,146504,144866,192598,499037,156854,42861,198791,107191,33248,22661,416521,190176,3,7.534854,-1.3511289
Warwickshire,E10000031,Total,40619,94540,72338,17087,6421,44480,43773,40366,47345,21087,8897,5781,9853,31389,19350,56523,166704,1485,7664,10506,20246,13910,11305,61205,19880,13783,12413,6006,31364,17751,11429,31267,6588,13514,12383,32734,32277,108918,111861,36117,53826,32288,8663,4494,40619,94540,95846,124296,321907,99271,31389,128619,68432,24531,13910,274433,113287,3,7.8227777,-1.029734
Birmingham,E08000025,Total,147112,169909,74523,14673,4519,63012,95188,109441,53686,11977,5523,4467,12646,32837,34914,96186,251668,2970,9718,15221,24916,54114,33428,81213,74102,48771,39917,28028,81901,45952,28408,73659,14762,29453,36063,93914,85601,222658,176026,46435,70102,49043,12656,6412,147112,169909,93715,310198,624634,138213,32837,267641,65663,22636,54114,434107,272031,0,9.748309,-5.4147515
Coventry,E08000026,Total,41361,54083,26218,5293,1637,23754,39327,24120,14284,7750,2579,1941,4191,10043,9571,29800,84624,549,2574,3659,7558,12532,12449,27790,24219,10049,10487,5581,22476,11359,7043,17831,4145,7571,12526,30610,24848,63574,53371,15356,24015,15543,4404,2288,41361,54083,33148,82951,187759,46250,10043,87201,22034,8711,12532,141213,78126,2,9.920293,-6.4624014
Dudley,E08000027,Total,29896,54662,34774,7987,2548,22859,35502,31218,20914,4167,1585,1285,3228,10956,10284,33987,86654,618,3051,4219,9191,12064,5746,36619,9636,10355,10060,4526,18867,10971,6963,18539,4164,8226,7473,18141,18947,61670,61220,19547,31502,19797,4673,2225,29896,54662,45309,75203,179525,58197,10956,89579,25081,6098,12064,143466,71196,0,8.843637,-3.8575647
Sandwell,E08000028,Total,41197,51922,22535,4557,1287,20368,34988,33361,14481,2430,1747,1140,3118,7840,9157,29779,81339,653,2508,3272,6787,16049,6266,28582,11728,12859,12679,7007,22669,12529,7665,19333,4038,8142,8040,20793,23085,64814,54884,15230,24520,16136,4096,2089,41197,51922,28379,82416,178806,46841,7840,88717,16911,6005,16049,130604,72855,0,9.621592,-5.2534595
Solihull,E08000029,Total,16992,33983,26573,6341,2167,11583,18059,21995,18576,5121,1350,957,3289,9989,7022,21701,59212,599,2944,3363,6767,6304,4218,24019,6496,5506,4949,2282,11555,7099,4612,13111,2804,5836,4766,11365,10664,38418,43018,13830,20463,13632,3621,1880,16992,33983,35081,49783,117295,39596,9989,51637,23697,5596,6304,98804,43252,3,7.697269,-1.741128
Walsall,E08000030,Total,31044,45181,24396,5460,1741,18152,25857,24264,19389,2838,1516,1188,2566,8150,8350,26934,67743,672,2891,3168,7260,13006,5131,28865,9544,11220,9974,5566,18373,10401,6570,17266,3590,7237,6840,17504,17690,52593,50223,15221,24666,15752,3706,1691,31044,45181,31597,70277,153231,45815,8150,68273,22227,5270,13006,113799,65169,0,9.481065,-5.0362763
Wolverhampton,E08000031,Total,34370,42007,19951,4479,1370,17889,29100,18678,12333,6342,969,1230,3030,7229,7484,24364,63981,525,2269,2680,5910,14127,6546,23763,11036,9479,9765,5538,16687,8971,5471,15095,3199,6705,6824,17988,17947,51399,45574,12981,20565,14468,3768,1828,34370,42007,25800,62952,145889,40629,7229,65667,18675,5229,14127,106275,59581,0,9.589583,-5.318581
Worcestershire,E10000034,Total,39855,96498,76841,18970,7553,47654,48572,33822,44530,24364,10140,6087,8354,33522,21197,61898,162811,1632,8666,11534,22190,15424,11928,66567,17126,14474,13527,7259,31106,18312,11701,32513,7035,14287,13152,30918,30883,108662,117825,40688,58621,35581,9760,5125,39855,96498,103364,128106,328976,109087,33522,130048,68894,24581,15424,280659,118953,3,7.577036,-0.9462491
Bedford,E06000055,Total,13137,26678,18037,4323,1637,13693,16618,8184,8641,6027,2091,1898,4858,7921,5879,15841,45943,431,2107,2815,5473,5060,4112,14517,6231,4918,3749,2567,10099,5742,3634,9955,2178,4267,4005,9640,10134,32838,30816,9303,12761,8680,2297,1130,13137,26678,23997,39880,92731,24868,7921,38495,14668,8847,5060,76722,31982,3,8.1987705,-1.5000762
Central Bedfordshire,E06000056,Total,13820,41842,36221,9036,3480,17887,12744,16544,27533,11318,5243,8120,6048,14781,11843,26069,81304,678,3678,4981,11135,6443,5237,25111,7768,7346,4409,2499,16009,9162,5805,15480,3323,6571,5441,13598,14484,53597,54730,16292,21945,13232,3175,1537,13820,41842,48737,61791,152701,39889,14781,47175,38851,19411,6443,133082,47133,3,8.166283,-0.67564946
Luton,E06000032,Total,20389,32923,16499,3440,1042,17868,20564,9403,9646,6117,2549,6216,1842,6171,8825,18407,53271,635,2136,2948,6479,8337,8059,14336,10703,9660,5496,4741,16592,8809,5412,13211,2732,5425,5404,16621,18812,43926,34030,8346,12644,8440,1877,920,20389,32923,20981,57585,121735,23881,6171,47835,15763,10607,8337,91935,44936,0,9.781759,-5.222796
Peterborough,E06000031,Total,18412,33372,17712,3452,1075,16209,23938,15367,5179,4488,1914,2314,4851,7158,6626,18654,56704,438,1946,2627,5001,6691,3585,15323,5104,7270,5484,3491,13904,7088,4336,11349,2459,4741,4298,12502,15046,40315,33333,9382,12701,8829,2258,1090,18412,33372,22239,48175,110578,24878,7158,55514,9667,9079,6691,88955,36672,0,9.4870825,-4.853513
Southend-on-Sea,E06000033,Total,20383,33268,16574,3406,1047,18007,16380,8802,5116,3143,1836,10465,2572,7434,7584,17949,47972,451,2168,3348,6834,6209,3393,17655,4769,6298,5311,2650,11213,5783,3715,10194,2132,4322,3730,9832,11282,36929,33309,10419,15184,10548,3223,1843,20383,33268,21027,41089,101771,30798,7434,43189,8259,14873,6209,82115,36683,3,7.7196417,-1.3233039
Thurrock,E06000034,Total,12527,27384,17007,3973,1462,9000,12249,10612,13188,10370,6076,1331,1563,5186,7845,16370,48620,347,1750,2091,5973,6190,3123,13377,3987,5903,4037,2356,12005,6428,3803,9949,2113,4117,3623,9804,11162,36566,29375,8739,10738,6657,1844,782,12527,27384,22442,42038,95646,20021,5186,31861,23558,8970,6190,78274,29660,3,8.634569,-1.7254633
Cambridgeshire,E10000003,Total,43588,106212,76970,17830,6641,51579,46066,41855,52366,26899,10057,8169,18208,37431,23370,61890,196394,1582,8485,12343,22940,13775,14786,58816,33690,17055,12220,7404,36828,20516,13179,34810,7408,14939,17105,44194,41721,130927,121138,38216,53140,33216,9046,4827,43588,106212,101441,144785,376196,100229,37431,139500,79265,36434,13775,318420,129185,3,7.699425,-1.0760657
Essex,E10000012,Total,104522,244783,171954,42913,17417,103048,93508,80352,100281,54761,35103,45426,26495,70620,65937,145817,395312,3917,20667,27804,60088,38074,27751,155639,40372,47562,31887,16721,81796,47295,30296,83001,17478,35911,32392,79047,78007,275860,282575,94496,133323,86926,22971,12213,104522,244783,232284,328169,809985,255433,70620,276908,155042,107024,38074,681356,292181,3,7.7926946,-0.7091185
Hertfordshire,E10000015,Total,76823,191349,140172,32826,12647,85446,77184,74579,85797,58358,37040,23827,9427,62439,50935,109693,341147,3164,16797,25369,47964,28301,26003,96720,40850,36518,20236,13451,74066,40712,25644,68824,14278,29307,25476,65239,69805,241763,224554,62479,87590,61248,16520,8557,76823,191349,185645,278307,663840,173915,62439,237209,144155,70294,28301,570137,207775,3,8.04508,-0.72272134
Norfolk,E10000020,Total,70096,166827,102064,23973,9125,69525,63669,55205,60223,30582,14292,9023,14544,45406,34845,94006,225180,2304,11990,17018,33140,23678,17416,111739,25667,25902,24187,11571,46531,25317,16340,46376,10421,20122,20071,51984,49508,154289,168410,63288,96126,63291,17068,8746,70096,166827,135162,185178,487479,185231,45406,188399,90805,37859,23678,401054,199066,1,6.5287704,-0.23284382
Suffolk,E10000029,Total,55661,135039,90758,21254,8033,68617,56415,41975,53004,25948,11604,8822,15532,40342,29501,82248,204527,2096,9935,14854,27321,18873,13428,86545,17006,22120,16484,10026,42226,24241,15255,42304,8876,18354,15678,40513,42682,136963,144426,51606,75241,49070,13374,7354,55661,135039,120045,166934,416190,145039,40342,167007,78952,35958,18873,354409,152181,3,7.302591,-0.71474594
Camden,E09000007,Total,59595,30991,5757,912,279,17698,27648,29373,6766,1417,489,585,1449,14366,9175,13727,66955,800,4333,6542,11629,7755,6656,11908,22734,7874,7663,5257,13168,6781,4117,9594,1805,3540,7178,21863,25923,59573,33564,9255,12937,7897,2048,1095,59595,30991,6948,46183,150178,23977,14366,74719,8183,2523,7755,110642,55436,2,11.3486185,-7.5427413
City of London,E09000001,Total,3043,1100,173,51,18,2257,846,384,137,31,23,17,83,687,282,360,3245,32,281,213,510,187,144,580,363,153,116,123,236,117,65,169,33,72,92,545,956,2045,1547,463,587,331,75,42,3043,1100,242,784,5556,1035,687,3487,168,123,187,4785,1335,2,10.894033,-7.4757366
Hackney,E09000012,Total,65721,31157,4129,525,158,16130,30252,34482,9033,1420,476,603,1427,11963,12770,21394,68680,935,3056,6434,12868,13207,7309,10441,16455,9262,9788,7594,19149,9618,5742,13878,2738,5270,5402,21685,33838,68805,35479,7271,9673,5775,1324,623,65721,31157,4812,61797,167078,17395,11963,80864,10453,2506,13207,120676,53540,2,11.59635,-7.689676
Hammersmith and Fulham,E09000013,Total,44524,29496,5661,730,179,14006,18115,34833,10020,1412,584,592,1140,10416,8500,11073,66703,607,3078,4927,9252,7060,5054,9135,11919,6645,5670,4429,11900,5446,3113,7621,1550,2883,3483,17279,26021,52859,27248,6677,9102,5300,1297,714,44524,29496,6570,35996,130084,16413,10416,66954,11432,2316,7060,100694,37798,2,11.411399,-7.7305517
Haringey,E09000014,Total,52851,38911,8507,1333,353,10703,14934,45250,18941,2445,660,594,1583,12465,16721,21601,70472,983,3849,8266,13715,11730,7573,13391,15945,9604,8448,7485,18112,9798,5977,15234,2949,5600,5704,18835,28062,71358,41685,9243,12575,7373,1576,845,52851,38911,10193,63374,169183,22369,12465,70887,21386,2837,11730,126459,54873,2,11.633485,-7.753296
Islington,E09000019,Total,60485,28507,3914,490,160,15364,36943,25510,5836,1462,507,587,1400,10122,9034,13596,69852,552,3196,4834,10295,8960,6203,10204,16458,6611,8707,5681,12289,5900,3683,9118,1835,3560,5405,20453,29744,57433,31441,7228,9885,6020,1443,688,60485,28507,4564,41790,146299,18036,10122,77817,7298,2494,8960,108528,47661,2,11.192169,-7.618484
Kensington and Chelsea,E09000020,Total,43982,26866,6204,1046,438,11176,19866,22399,5389,761,412,418,968,13510,6488,8583,51211,808,4604,5215,8777,5433,2886,10119,11031,7740,4503,5170,9189,4765,2849,6442,1137,2308,3030,11322,16602,45177,28537,8176,10928,5720,1539,928,43982,26866,7688,29720,109814,19115,13510,53441,6150,1798,5433,82084,38563,2,11.543086,-7.6766357
Lambeth,E09000022,Total,75214,45077,8147,1219,360,14376,32941,64043,17599,2468,1118,1093,2120,13862,16874,22530,110465,861,3860,7225,14882,14255,9112,13265,16062,8411,9068,7734,20701,10196,6180,14754,2955,5576,5527,26702,43135,87291,47870,9012,12617,7725,1936,909,75214,45077,9726,65889,214010,23187,13862,111360,20067,4331,14255,168935,54540,2,11.465058,-7.7927895
Lewisham,E09000023,Total,55893,46991,10829,1875,503,12466,20203,42449,28783,2449,1107,812,1742,11413,14633,24079,82776,813,3293,6286,11658,12776,10112,15088,15018,9179,8779,6398,22004,10580,6085,15268,3199,6371,6557,20883,26465,74795,47754,9789,13641,9013,2271,1210,55893,46991,13207,70064,179686,26135,11413,75118,31232,3661,12776,139017,54462,2,11.687991,-7.5898366
Newham,E09000025,Total,52849,38531,8405,1386,348,14025,19480,28419,31363,4038,1311,1193,2068,8945,21612,26408,70712,1256,3537,6035,10914,15734,19165,13211,24959,16510,9728,10789,25384,12846,7988,19587,4089,7934,8388,32586,40437,76602,43017,8533,11461,6796,1567,769,52849,38531,10139,86216,201175,20593,8945,61924,35401,4572,15734,138027,75197,2,11.902877,-7.6136966
Southwark,E09000028,Total,70312,41622,7173,1033,282,20095,41277,41941,11142,1832,959,1007,2117,12303,14715,22225,94675,762,3513,6036,12075,13484,11089,12940,22256,8438,9653,7405,20739,9836,5726,14097,2984,5656,7326,26996,35725,80522,47275,9072,11979,7466,1949,935,70312,41622,8488,66364,199590,22329,12303,103313,12974,4083,13484,150375,60692,2,11.371484,-7.689355
Tower Hamlets,E09000030,Total,63797,32329,4450,521,160,24729,31135,30894,9206,1617,866,930,1796,9046,10654,18852,78031,906,2450,4116,8864,13259,10755,9262,19407,13809,8893,7948,18750,9697,5834,13202,2660,4953,7010,30818,40157,70245,29337,5863,8169,5611,1256,534,63797,32329,5131,62106,176420,15570,9046,86758,10823,3592,13259,123974,59319,2,11.453471,-7.6542473
Wandsworth,E09000032,Total,59143,56409,12634,1798,509,15186,27706,66099,30265,3316,1655,1286,2028,16635,14406,18968,123965,881,5239,7883,15532,9311,8010,15140,14599,10424,7027,6554,21670,9230,5344,12521,2241,4621,5541,23699,47217,93803,43539,10658,14455,8763,2355,1338,59143,56409,14941,61168,218916,26911,16635,108991,33581,4969,9311,180478,53744,2,11.480557,-7.689455
Westminster,E09000033,Total,66531,31869,5930,1000,442,21455,32926,22123,5946,1357,702,849,1650,15542,8629,12606,72899,996,4942,5520,10568,7941,4946,12010,17835,9521,8492,7229,12617,6071,3655,8665,1576,3374,5047,17490,27498,64114,35570,9205,13207,8207,2042,1058,66531,31869,7372,41005,153877,24514,15542,76504,7303,3201,7941,112477,55087,2,11.456265,-7.8223653
Barking and Dagenham,E09000002,Total,27618,30183,9557,1859,464,8092,13079,11472,19586,4839,1112,598,1300,4740,10399,15608,44490,506,1883,3009,6023,9367,5518,10995,9485,9476,6459,4749,18676,8989,5342,12757,2534,5246,4805,13053,14971,43463,29955,6799,9276,6982,2102,961,27618,30183,11880,58349,108241,19321,4740,32643,24425,3010,9367,77037,41164,2,12.049567,-7.5932164
Barnet,E09000003,Total,39024,59992,28698,6208,1994,17057,20734,36206,47142,4071,1370,1086,1799,20968,20225,30478,93174,1681,7842,11843,18924,11476,9065,22967,21112,14277,7885,7719,26239,13804,8548,21293,4350,8839,7391,23913,31425,83864,62376,16912,23723,16034,4785,2890,39024,59992,36900,90464,218490,47432,20968,73997,51213,4255,11476,173007,73960,2,11.8275385,-7.477311
Bexley,E09000004,Total,21918,42054,21708,5204,1720,10863,17256,18487,30636,8228,1601,981,1421,8560,12126,23072,66838,532,2688,3648,9508,7245,5333,21839,9177,7696,4943,3395,15182,8535,5480,15018,3351,6574,5903,14832,14041,47146,45928,12795,18695,13408,3403,1706,21918,42054,28632,60043,134742,37212,8560,46606,38864,4003,7245,111619,47050,2,11.855874,-6.946191
Brent,E09000005,Total,47419,43598,14884,3429,956,15451,27761,36623,26401,3214,921,768,1868,12856,21598,25702,83772,1429,5185,8070,15320,13535,10978,18619,19919,13035,9119,9043,22446,11521,7127,17942,3721,7607,7261,24198,34698,76288,53462,12268,17944,11137,2408,1187,47419,43598,19269,77625,200914,32676,12856,79835,29615,3557,13535,150456,69735,2,11.768666,-7.75647
Bromley,E09000006,Total,30723,59613,30909,7072,2545,15585,18933,21859,48292,11462,2061,1111,1785,15799,14481,29012,91506,967,4844,7039,13740,8668,5506,29656,10635,10614,6057,4295,20095,11161,6900,18612,3818,7912,6182,16119,17887,68132,62045,18492,25770,18452,5086,2729,30723,59613,40526,74680,182675,52037,15799,56377,59754,4957,8668,152614,61257,2,11.756282,-6.9067054
Croydon,E09000008,Total,48523,63183,25836,5571,1897,22570,24885,29785,45962,10707,1952,1402,2780,15619,17325,33112,105621,1082,4685,7169,14084,14512,10043,26079,16641,13265,9272,7483,27972,14388,8708,23130,4912,9934,8720,23591,27692,82439,70488,17029,23155,15318,3881,2021,48523,63183,33304,97764,221239,44375,15619,77240,56669,6134,14512,175796,72740,2,11.991497,-7.222005
Ealing,E09000009,Total,43847,54846,20017,4093,1279,18151,25809,35784,39550,5096,1349,1320,2011,15002,20748,25882,100465,1191,4847,8810,16305,13158,9957,20905,18771,14552,9134,8787,25426,12595,7790,19043,4023,7728,6922,24552,33998,87446,58503,14196,19419,12152,3023,1633,43847,54846,25389,83527,218695,36227,15002,79744,44646,4680,13158,167457,72149,2,11.751832,-7.770225
Enfield,E09000010,Total,38933,51872,21997,5328,1786,15693,23261,22084,40369,4530,1331,848,1764,12362,15380,29134,77326,1368,4702,6993,12078,13192,8541,22062,17187,13464,9242,8735,24513,13047,7883,20305,4253,8547,7711,21726,24957,70185,56854,13652,20392,13159,3449,1833,38933,51872,29111,86259,187374,38833,12362,61038,44899,3943,13192,140142,70690,2,11.894131,-7.4160233
Greenwich,E09000011,Total,42455,43058,12523,2321,688,11422,17307,25399,32925,3251,1561,794,1664,9610,13888,20697,71844,702,3175,4687,9741,11518,9709,15695,13957,9577,8621,6799,20945,10443,5882,14984,3140,5978,6943,19987,22113,65585,42269,10172,13675,8692,2452,1297,42455,43058,15532,68315,160126,26116,9610,54128,36176,4019,11518,120555,54649,2,11.828344,-7.6363235
Harrow,E09000015,Total,19811,37013,20993,5012,1439,12576,16529,19138,29857,7904,1271,934,1376,11574,12741,21423,65492,985,4474,5717,10943,7854,6419,18189,13417,9580,5105,5153,15916,9007,5414,14590,3131,6604,5369,16066,19345,53358,44579,12010,17420,11659,2982,1606,19811,37013,27444,60031,145358,33667,11574,48243,37761,3581,7854,115453,51444,2,11.884912,-7.3970666
Havering,E09000016,Total,22364,42968,23831,5910,2126,12721,17158,16215,19467,21170,2104,971,1534,8705,12801,23479,67989,659,3094,4096,10129,7627,4569,24404,7944,8374,5407,3357,13661,8143,5087,14365,3132,6439,5787,14976,14662,46289,47853,14561,20561,15660,4196,1860,22364,42968,31867,56614,138341,42277,8705,46094,40637,4609,7627,114015,49486,3,8.6847315,-1.7268941
Hillingdon,E09000017,Total,22716,43942,25193,6125,2238,17175,23044,26443,21028,13687,2171,1192,1827,11229,12494,23706,80835,729,3402,4704,9812,8693,9661,20310,16788,10311,5886,5089,19704,10494,6421,16877,3397,7227,8409,21934,20878,61198,49433,12786,18061,12425,3036,1656,22716,43942,33556,72529,166229,35178,11229,66662,34715,5190,8693,132849,58384,2,12.0435,-7.0689836
Hounslow,E09000018,Total,29985,42744,16986,3942,1245,16376,23852,27711,24730,5701,1448,906,1654,11139,13515,20588,79763,878,3451,5500,10562,8815,8310,15843,12769,11167,6502,6009,19725,9412,5487,13945,2964,5954,5759,18612,26231,64753,43411,10845,14592,8982,2220,1065,29985,42744,22173,63246,163852,26859,11139,67939,30431,4008,8815,129052,52290,2,11.841539,-7.43832
Kingston upon Thames,E09000021,Total,15997,30084,13740,2861,957,11610,12889,11716,21788,5002,1145,694,1004,8942,7167,13588,49530,524,2357,3961,7166,3850,6372,11281,10305,5616,2664,2459,10964,5647,3319,8541,1799,3422,4643,13505,12358,38920,28602,7982,10241,6775,2136,1206,15997,30084,17558,38335,101367,20358,8942,36215,26790,2843,3850,83498,32325,2,11.821515,-7.2804427
