geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
South Tyneside,E08000023,Total,25830,27639,11168,1999,531,11255,14699,15020,9943,1451,292,595,1902,3875,5590,15480,40838,289,1379,1287,2993,7145,3234,17355,4611,4696,7234,2440,8182,4619,2932,8233,1961,3735,3797,9447,8901,27436,32394,9637,13634,9632,2503,1084,25830,27639,13698,33459,87815,26853,3875,40974,11394,2789,7145,65500,36336,0,9.240233,-4.0439186
Sunderland,E08000024,Total,42094,49564,22561,4358,1181,22817,30020,25463,19077,2876,1465,633,3112,7705,8343,29186,75899,586,2529,2788,5574,12016,6889,32215,10778,8666,14084,4342,15378,8599,5534,15355,3326,6753,7708,19709,16945,52854,58541,18011,25031,16600,3576,1586,42094,49564,28100,62653,166060,46793,7705,78300,21953,5210,12016,123451,70085,0,9.359344,-4.1366534
Blackburn with Darwen,E06000008,Total,17502,25110,11819,2256,666,14083,14124,8256,8609,2796,1634,635,1341,4930,4115,14535,35597,520,1703,2050,3724,5575,3329,13248,6065,7061,7378,3632,11278,6386,4092,10322,2289,4278,3651,9718,10951,30862,26717,7884,10356,6360,1547,798,17502,25110,14741,42296,86132,19061,4930,36463,11405,3610,5575,61458,37384,0,9.522191,-5.0654325
Blackpool,E06000009,Total,23635,27493,10635,2035,569,15754,17613,8224,3217,2604,643,740,1468,6173,4983,14836,34230,349,1646,2415,5550,6337,3177,16807,3809,3943,8228,2486,8218,4652,2784,8052,1660,3487,3501,8529,8580,26854,29094,9415,14353,9148,2431,1307,23635,27493,13239,32354,82472,27239,6173,41591,5821,2851,6337,62203,35273,0,8.989445,-4.1378775
Cheshire East,E06000049,Total,25709,65543,52217,11763,4209,32246,26242,25533,32196,12469,6538,4525,5530,23337,12520,38940,106863,1205,6533,7713,13605,8742,7652,46446,11341,9591,8327,3995,20194,12057,7687,21383,4432,9249,8398,18615,19020,72047,79230,26443,37951,23733,6347,3341,25709,65543,68189,83400,215355,71372,23337,84021,44665,16593,8742,182511,79700,3,7.565383,-0.7851873
Cheshire West and Chester,E06000050,Total,26297,58893,43561,9580,3111,26528,25727,23424,27282,13656,5786,4132,5441,17178,10984,36206,95642,887,4729,5711,10529,8949,8125,39893,10746,8620,9574,3544,18050,10742,6701,18737,3905,7904,8296,19511,18796,64058,69122,22686,32782,20387,5215,2716,26297,58893,56252,74335,194173,61100,17178,75679,40938,15359,8949,161829,72377,3,7.629538,-1.1682975
Halton,E06000006,Total,14380,22923,12893,2418,698,10704,13262,9929,9316,2987,1800,591,1614,3696,3678,13102,37219,194,1056,1230,2940,5151,2519,13332,3858,3900,6451,1756,8354,4563,2820,7577,1613,3339,3130,8024,8141,25004,26192,8508,10370,6132,1349,630,14380,22923,16009,31396,75869,18481,3696,33895,12303,4005,5151,58260,29297,0,9.020006,-3.2234366
Warrington,E06000007,Total,16409,35587,26623,5049,1472,15292,24014,16340,12844,9933,2767,998,2737,9336,6595,21782,63875,472,2389,2886,5870,5961,4530,22189,5441,4917,6063,3086,12309,7003,4552,12296,2591,5259,4657,12088,12503,42327,41988,12441,18198,10294,2498,1224,16409,35587,33144,48667,121347,32214,9336,55646,22777,6502,5961,101804,41696,3,8.365505,-1.9260359
Cumbria,E10000006,Total,47578,99389,57798,12825,4452,56105,41354,28893,34157,14219,6706,5438,8767,31176,16416,59570,136835,1712,8864,8784,19874,12346,9170,66857,11492,11015,16547,5814,25248,15051,9706,27449,6045,12376,11425,25674,26289,91309,108375,38022,55410,34201,8745,4533,47578,99389,75075,107300,289669,102889,31176,126352,48376,20911,12346,244809,111725,1,6.7327347,-0.057797413
Bolton,E08000001,Total,32948,50068,27136,4938,1281,21045,27946,22080,19590,8280,1601,1197,2588,10086,8954,27798,74631,839,3394,4086,8029,9913,6243,29514,10318,9504,11574,4880,18765,10383,6495,17793,3640,7483,6799,18071,18285,56720,52967,16845,23553,13659,3652,1676,32948,50068,33355,71358,162888,42540,10086,71071,27870,5386,9913,125020,65790,0,9.381429,-4.7274823
Bury,E08000002,Total,18683,34373,20546,3477,1034,13856,17131,19581,15805,3567,1170,1084,1861,7689,6292,19118,53953,533,2539,3129,6019,5769,3620,19558,6074,5168,6596,2611,12235,6875,4233,11361,2421,4827,4297,10688,11622,37977,37272,11712,16292,9623,2397,1228,18683,34373,25057,46249,109271,29540,7689,50568,19372,4115,5769,88911,40007,0,9.292572,-3.911025
Manchester,E08000003,Total,91248,83276,25598,3779,1068,40091,53634,50895,19994,4423,2506,3836,5397,15288,17641,41535,128930,1099,4060,6794,11675,21880,27251,29179,53999,18697,25161,12672,36413,18059,10558,26785,5603,10734,21965,66998,56595,111440,72197,18236,24767,16404,4226,2147,91248,83276,30445,130117,325466,47544,15288,144620,24417,11739,21880,221344,139708,2,10.258365,-6.686921
Oldham,E08000004,Total,27954,38521,18893,3368,967,18074,23869,18594,13470,3004,1587,1384,1698,7349,7271,22171,58410,659,2581,3047,6147,8661,4722,22426,8135,9038,9209,4559,16491,9353,6069,15337,3209,6098,5749,14586,15177,44945,42055,12875,18280,10465,2760,1448,27954,38521,23228,62306,129638,32953,7349,60537,16474,4669,8661,97737,53367,0,9.560574,-5.0356917
Rochdale,E08000005,Total,27460,36830,18960,3411,891,17250,19314,18308,13162,4112,1446,1134,1861,7076,7090,20101,55604,629,2436,2982,6069,9047,4135,20853,8025,7838,10446,4577,14754,8177,4971,13925,2956,5989,5480,14005,14111,42914,41147,12454,16642,10367,2632,1175,27460,36830,23262,56252,124631,30816,7076,54872,17274,4441,9047,91956,51739,0,9.4759245,-4.89871
Salford,E08000006,Total,38178,43884,17769,2919,806,20766,24873,22558,14750,2846,1279,1385,2644,7987,7816,21676,67966,414,2114,2616,6228,9041,8075,20950,10093,7021,11915,5008,16255,8146,4865,12969,2918,5543,6642,19537,20989,48801,41704,12358,17543,11144,3012,1507,38178,43884,21494,57338,143389,33206,7987,68197,17596,5308,9041,109089,54987,2,10.021374,-6.2567096
