geography code, Mean Age,Population,Total Cars,Average Distance,Total distance (km)
E10000008,43.7,746399,436533,17.2,4573191
E10000009,45.2,412905,253649,17.3,2506167.2
E10000013,41.3,596984,353020,15.6,3711479
E10000027,42.7,529972,318697,16.4,3258526.1
W06000001,43.4,69751,41770,22.5,532332.2
W06000002,41.6,121874,66748,21.6,876729.1
W06000003,44.6,115228,63647,18.6,728060.5
W06000004,42.4,93734,51374,17.2,559366.3
W06000005,40.6,152506,87946,16.9,1053004
W06000006,39.8,134844,71282,14.5,787661.8
W06000023,43.9,132976,84382,22.2,974537.3
W06000008,41.7,75922,42905,21.3,483081.5
W06000009,42.9,122439,71762,20.5,808117.5
W06000010,42.3,183777,105009,20.3,1266658.6
W06000011,40.1,239023,118896,14.7,1286508.4
W06000012,41.3,139812,69430,16.3,824110.1
W06000013,40.7,139178,71602,16.8,870252.4
W06000014,40.9,126336,69704,16.6,807245.4
W06000015,36.5,346090,152341,12.7,1724618.7
W06000016,39.8,234410,112087,16.3,1360727
W06000024,39.7,58802,25622,15.5,331619.8
W06000018,39.5,178806,87889,14.5,961270.3
W06000019,40.5,69814,32478,15.3,376347.2
W06000020,40.4,91075,46364,13.4,467654.4
W06000021,43,91323,55959,21.9,715811.6
W06000022,38.8,145736,68626,14.7,815995.6
